time	accel_ms2
4.09	-0.074391067
4.095	-0.091943061
4.1	-0.087443557
4.105	-0.060805184
4.11	-0.018399245
4.115	0.02788191
4.12	0.064174062
4.125	0.079953283
4.13	0.072313885
4.135	0.046084996
4.14	0.010162442
4.145	-0.026370377
4.15	-0.056103128
4.155	-0.073478807
4.16	-0.074968158
4.165	-0.060111662
4.17	-0.032432153
4.175	0.001224505
4.18	0.032838941
4.185	0.055510344
4.19	0.064754159
4.195	0.058989783
4.2	0.040048445
4.205	0.013788869
4.21	-0.010610161
4.215	-0.02412628
4.22	-0.022412092
4.225	-0.007973451
4.23	0.011498906
4.235	0.027054413
4.24	0.032068956
4.245	0.024247777
4.25	0.006025293
4.255	-0.016532465
4.26	-0.035896343
4.265	-0.045600679
4.27	-0.04221564
4.275	-0.026064973
4.28	-0.001084841
4.285	0.025739954
4.29	0.045565966
4.295	0.050007273
4.3	0.034346786
4.305	0.000363735
4.31	-0.042816152
4.315	-0.080785921
4.32	-0.098681924
4.325	-0.087124632
4.33	-0.046862696
4.335	0.010117249
4.34	0.064281255
4.345	0.096269474
4.35	0.095199088
4.355	0.063083806
4.36	0.013265371
4.365	-0.035894508
4.37	-0.068456842
4.375	-0.076216208
4.38	-0.060590673
4.385	-0.030656524
4.39	0.001829836
4.395	0.02768866
4.4	0.043101255
4.405	0.049460689
4.41	0.051348317
4.415	0.05338862
4.42	0.056932363
4.425	0.058685392
4.43	0.052896652
4.435	0.035554524
4.44	0.007131528
4.445	-0.027756638
4.45	-0.062343712
4.455	-0.089348325
4.46	-0.10178067
4.465	-0.094235308
4.47	-0.065496005
4.475	-0.020760615
4.48	0.028879771
4.485	0.069782358
4.49	0.090228202
4.495	0.084625126
4.5	0.055859843
4.505	0.014464937
4.51	-0.025282248
4.515	-0.050602938
4.52	-0.0549805
4.525	-0.040809775
4.53	-0.018286747
4.535	-0.000362858
4.54	0.003756244
4.545	-0.007005229
4.55	-0.025371586
4.555	-0.039444036
4.56	-0.038696053
4.565	-0.019520234
4.57	0.012550512
4.575	0.045265298
4.58	0.06558228
4.585	0.066159768
4.59	0.049033326
4.595	0.023727881
4.6	0.000702577
4.605	-0.014670905
4.61	-0.023342373
4.615	-0.029109947
4.62	-0.033628857
4.625	-0.033952305
4.63	-0.024789457
4.635	-0.003522896
4.64	0.025992262
4.645	0.053705266
4.65	0.067726796
4.655	0.060619145
4.66	0.034318003
4.665	0.00030757
4.67	-0.025835963
4.675	-0.032795917
4.68	-0.020204686
4.685	0.000747202
4.69	0.013807529
4.695	0.007447468
4.7	-0.018100197
4.705	-0.050761794
4.71	-0.073375223
4.715	-0.073315989
4.72	-0.049448627
4.725	-0.012350434
4.73	0.022123938
4.735	0.041611358
4.74	0.042719649
4.745	0.030616495
4.75	0.014441084
4.755	0.00209362
4.76	-0.002886821
4.765	-0.001862893
4.77	0.000438646
4.775	-0.000947668
4.78	-0.007925062
4.785	-0.018037282
4.79	-0.02604068
4.795	-0.026936835
4.8	-0.01847832
4.805	-0.002425886
4.81	0.015902364
4.815	0.030105993
4.82	0.035700642
4.825	0.031465988
4.83	0.018948652
4.835	0.001327909
4.84	-0.017399316
4.845	-0.032713297
4.85	-0.040146907
4.855	-0.03660456
