"longitude","latitude","pga_cms2","pga_g"
-3,52.8,53.34,0.0543916628002427
-2.8,52.8,52.89,0.0539327905044026
-2.6,52.8,64.93,0.0662101737086569
-2.4,52.8,54.545,0.0556204208368811
-2.2,52.8,52.37,0.0534025380736541
-2,52.8,65.07,0.0663529339784738
-1.8,52.8,64.52,0.0657920900613359
-1.6,52.8,64.4,0.0656697241157786
-1.4,52.8,64.4,0.0656697241157786
-1.2,52.8,64.52,0.0657920900613359
-1,52.8,59.455,0.0606272274426027
-0.8,52.8,63.125,0.0643695859442317
-0.6,52.8,63.325,0.0645735291868273
-0.4,52.8,42.18,0.043011629863409
-0.2,52.8,43.23,0.0440823318870358
0,52.8,42.18,0.043011629863409
0.2,52.8,37.685,0.0384280054860732
0.4,52.8,40.105,0.0408957187214798
0.6,52.8,43.255,0.0441078247923603
0.8,52.8,27.46,0.0280014072083739
1,52.8,38.035,0.0387849061606155
1.2,52.8,33.25,0.0339055640815161
1.4,52.8,22.97,0.023422881412103
-4.4,53,68.69,0.0700443066694539
-4.2,53,69.51,0.0708804739640958
-4,53,113.95,0.116196662468835
-3.8,53,91.655,0.093462089500492
-3.6,53,106.35,0.108446819250203
-3.4,53,55.17,0.0562577434699923
-3.2,53,107.15,0.109262592220585
-3,53,54.58,0.0556561109043353
-2.8,53,64.125,0.0653893021572096
-2.6,53,53.81,0.0548709294203423
-2.4,53,65.5,0.0667914119500543
-2.2,53,73.58,0.075030718950916
-2,53,72.055,0.0734756517261246
-1.8,53,78.625,0.0801751872453896
-1.6,53,79.575,0.0811439176477187
-1.4,53,79.205,0.0807666226489168
-1.2,53,79.205,0.0807666226489168
-1,53,79.205,0.0807666226489168
-0.8,53,86.13,0.087828157423789
-0.6,53,83.37,0.0850137406759699
-0.4,53,83.37,0.0850137406759699
-0.2,53,83.37,0.0850137406759699
0,53,83.37,0.0850137406759699
-4.4,53.2,68.48,0.0698301662647285
-4.2,53.2,128.95,0.131492405663504
-4,53.2,128.95,0.131492405663504
-3.8,53.2,74.565,0.0760351394206992
-3.6,53.2,74.565,0.0760351394206992
-3.4,53.2,75.43,0.0769171939449251
-3.2,53.2,51.605,0.052622455170726
-3,53.2,69.145,0.0705082775463588
-2.8,53.2,48.035,0.0489820682903948
-2.6,53.2,46.85,0.0477737045780159
-2.4,53.2,64.19,0.0654555837110532
-2.2,53.2,73.56,0.0750103246266564
-2,53.2,80.285,0.081867916158933
-1.8,53.2,78.835,0.080389327650115
-1.6,53.2,81.075,0.0826734919671855
-1.4,53.2,79.365,0.0809297772429933
-1.2,53.2,81.15,0.0827499706831589
-1,53.2,81.15,0.0827499706831589
-0.8,53.2,84.17,0.0858295136463522
-0.6,53.2,84.205,0.0858652037138064
-0.4,53.2,84.205,0.0858652037138064
-0.2,53.2,84.205,0.0858652037138064
0,53.2,84.205,0.0858652037138064
0.2,53.2,84.205,0.0858652037138064
-4.4,53.4,126.6,0.129096072563006
-3.2,53.4,63.295,0.064542937700438
-3,53.4,61.075,0.062279167707627
-2.8,53.4,42.735,0.0435775723616118
-2.6,53.4,39.715,0.0404980293984184
-2.4,53.4,44.48,0.0453569771532582
-2.2,53.4,63.005,0.0642472199986744
-2,53.4,69.105,0.0704674888978397
-1.8,53.4,76.89,0.0784059796158729
-1.6,53.4,79.19,0.0807513269057221
-1.4,53.4,79.19,0.0807513269057221
-1.2,53.4,81.31,0.0829131252772353
-1,53.4,88.04,0.0897758153905768
-0.8,53.4,86.405,0.0881085793823579
-0.6,53.4,86.405,0.0881085793823579
-0.4,53.4,86.405,0.0881085793823579
-0.2,53.4,86.405,0.0881085793823579
0,53.4,86.405,0.0881085793823579
0.2,53.4,86.405,0.0881085793823579
-3,53.6,63.275,0.0645225433761784
-2.8,53.6,38.73,0.0394936089286352
-2.6,53.6,58.2,0.0593474835953154
-2.4,53.6,37.19,0.0379232459606492
-2.2,53.6,63.71,0.0649661199288238
-2,53.6,69.58,0.0709518540990042
