"event","channel","filtering","station","epidistance","station_latitude","station_longitude","Vs_30_value","site_type_binary","groundmotion","amplitude","component","groundmotion_bis","filtering_bis"
"rasen","Hchan","f35Hz","ESK",283.587,55.3165,-3.2052,2000,"Rock","Dis_Max",0.0015,"maximum","PGD","high frequency filtering (35 Hz)"
"rasen","Hchan","f35Hz","GAL1",329.548,54.8663,-4.7113,390,"Soil","Dis_Max",0.0028,"maximum","PGD","high frequency filtering (35 Hz)"
"rasen","Hchan","f35Hz","HLM1",197.485,52.5183,-2.8807,1000,"Rock","Dis_Max",0.0705,"maximum","PGD","high frequency filtering (35 Hz)"
"rasen","Hchan","f35Hz","HPK",105.698,53.9582,-1.6242,760,"Soil","Dis_Max",0.0235,"maximum","PGD","high frequency filtering (35 Hz)"
"rasen","Hchan","f35Hz","MCH1",238.517,51.9973,-2.9983,760,"Soil","Dis_Max",0.002,"maximum","PGD","high frequency filtering (35 Hz)"
"rasen","Hchan","f35Hz","STNC",129.866,53.0913,-2.2062,760,"Soil","Dis_Max",0.0191,"maximum","PGD","high frequency filtering (35 Hz)"
"rasen","Hchan","f35Hz","SWN1",232.523,51.5132,-1.8003,503,"Soil","Dis_Max",0.0134,"maximum","PGD","high frequency filtering (35 Hz)"
"rasen","Hchan","f35Hz","WLF1",271.089,53.2893,-4.3967,2500,"Rock","Dis_Max",0.0124,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Bchan","f25Hz","FOEL",131.571,52.8879,-3.2012,760,"Soil","Dis_Max",0.0031,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Bchan","f25Hz","LLW",120.612,52.8492,-3.665,900,"Rock","Dis_Max",0.0017,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Bchan","f25Hz","SBD",146.777,50.5653,-4.6856,900,"Rock","Dis_Max",0.003,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Bchan","f25Hz","WOL",188.163,51.31,-1.22,500,"Soil","Dis_Max",0.0031,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","CCA1",201.621,50.1867,-5.2273,845,"Rock","Dis_Max",0.0017,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","CWF",203.162,52.7385,-1.3077,1050,"Rock","Dis_Max",6e-04,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","DYA",148.651,50.4353,-3.931,1050,"Rock","Dis_Max",0.0021,"maximum","PGD","high frequency filtering (35 Hz)"
"swansea","Hchan","f35Hz","HLM1",105.624,52.5183,-2.8807,1000,"Rock","Dis_Max",0.0027,"maximum","PGD","high frequency filtering (35 Hz)"
