"event","channel","filtering","station","epidistance","station_latitude","station_longitude","Vs_30_value","site_type_binary","groundmotion","amplitude","component","groundmotion_bis","filtering_bis"
"folkestone","Hchan","35Hz","HPK",370.225,53.9582,-1.6242,760,"Soil","Max_Sa_0.05_s",0.0758339950236113,"maximum","Sa(T=0.05 s)","high frequency filtering (35 Hz)"
"folkestone","Hchan","35Hz","MCH1",305.837,51.9973,-2.9983,760,"Soil","Max_Sa_0.05_s",0.0638227227201929,"maximum","Sa(T=0.05 s)","high frequency filtering (35 Hz)"
"folkestone","Hchan","35Hz","STNC",320.291,53.0913,-2.2062,760,"Soil","Max_Sa_0.05_s",0.115915223253324,"maximum","Sa(T=0.05 s)","high frequency filtering (35 Hz)"
"folkestone","Hchan","35Hz","SWN1",212.155,51.5132,-1.8003,503,"Soil","Max_Sa_0.05_s",0.140768260327625,"maximum","Sa(T=0.05 s)","high frequency filtering (35 Hz)"
"rasen","Bchan","10Hz","CWF",98.559,52.7385,-1.3077,1050,"Rock","Max_Sa_0.05_s",12.1484256003287,"maximum","Sa(T=0.05 s)","low frequency filtering (10 Hz)"
"rasen","Bchan","10Hz","MCH1",238.518,51.9973,-2.9983,760,"Soil","Max_Sa_0.05_s",1.31938183731523,"maximum","Sa(T=0.05 s)","low frequency filtering (10 Hz)"
"rasen","Bchan","25Hz","CWF",98.559,52.7385,-1.3077,1050,"Rock","Max_Sa_0.05_s",21.8712968433955,"maximum","Sa(T=0.05 s)","high frequency filtering (35 Hz)"
"rasen","Bchan","25Hz","MCH1",238.518,51.9973,-2.9983,760,"Soil","Max_Sa_0.05_s",1.96808757161627,"maximum","Sa(T=0.05 s)","high frequency filtering (35 Hz)"
"rasen","Hchan","10Hz","CWF",98.559,52.7385,-1.3077,1050,"Rock","Max_Sa_0.05_s",12.5358428674929,"maximum","Sa(T=0.05 s)","low frequency filtering (10 Hz)"
"rasen","Hchan","10Hz","HPK",105.701,53.9582,-1.6242,760,"Soil","Max_Sa_0.05_s",20.1344574863901,"maximum","Sa(T=0.05 s)","low frequency filtering (10 Hz)"
"rasen","Hchan","10Hz","MCH1",238.518,51.9973,-2.9983,760,"Soil","Max_Sa_0.05_s",1.34698289235611,"maximum","Sa(T=0.05 s)","low frequency filtering (10 Hz)"
"rasen","Hchan","10Hz","STNC",129.869,53.0913,-2.2062,760,"Soil","Max_Sa_0.05_s",4.9493834869878,"maximum","Sa(T=0.05 s)","low frequency filtering (10 Hz)"
"rasen","Hchan","10Hz","SWN1",232.518,51.5132,-1.8003,503,"Soil","Max_Sa_0.05_s",2.77331938925837,"maximum","Sa(T=0.05 s)","low frequency filtering (10 Hz)"
"rasen","Hchan","35Hz","CWF",98.559,52.7385,-1.3077,1050,"Rock","Max_Sa_0.05_s",28.8960852327505,"maximum","Sa(T=0.05 s)","high frequency filtering (35 Hz)"
"rasen","Hchan","35Hz","HPK",105.701,53.9582,-1.6242,760,"Soil","Max_Sa_0.05_s",23.882233595036,"maximum","Sa(T=0.05 s)","high frequency filtering (35 Hz)"
"rasen","Hchan","35Hz","MCH1",238.518,51.9973,-2.9983,760,"Soil","Max_Sa_0.05_s",2.32000145618096,"maximum","Sa(T=0.05 s)","high frequency filtering (35 Hz)"
"rasen","Hchan","35Hz","STNC",129.869,53.0913,-2.2062,760,"Soil","Max_Sa_0.05_s",8.24230902680878,"maximum","Sa(T=0.05 s)","high frequency filtering (35 Hz)"
"rasen","Hchan","35Hz","SWN1",232.518,51.5132,-1.8003,503,"Soil","Max_Sa_0.05_s",3.23302986138015,"maximum","Sa(T=0.05 s)","high frequency filtering (35 Hz)"
"swansea","Bchan","10Hz","CWF",203.161,52.7385,-1.3077,1050,"Rock","Max_Sa_0.05_s",0.457414911098759,"maximum","Sa(T=0.05 s)","low frequency filtering (10 Hz)"
"swansea","Bchan","10Hz","HPK",285.216,53.9582,-1.6242,760,"Soil","Max_Sa_0.05_s",0.611225284601723,"maximum","Sa(T=0.05 s)","low frequency filtering (10 Hz)"
"swansea","Bchan","10Hz","MCH1",62.603,51.9973,-2.9983,760,"Soil","Max_Sa_0.05_s",0.709983952295968,"maximum","Sa(T=0.05 s)","low frequency filtering (10 Hz)"
"swansea","Bchan","10Hz","STNC",183.88,53.0913,-2.2062,760,"Soil","Max_Sa_0.05_s",1.45463687626071,"maximum","Sa(T=0.05 s)","low frequency filtering (10 Hz)"
